Term_Key,Language_0 (CN),Language_1 (EN),Language_2 (JP),Language_3 (RU),Korean
ReEX_Info_A/11,防御+10，法抗+10,,,,"방어 +10, 법술 저항 +10."
ReEX_Info_A/12,费用+1，不再获得护盾，改为获得【雷反】效果,"Cost +1, no longer gain Shield, but gain [Lightning Counter] instead",コスト+1、シールドの代わりに「雷返し」効果を得る。,"Стоимость +1, больше не дает щит, а вместо этого дает [Молниевый контрудар]","비용 +1, 더 이상 보호막을 얻지 않는 대신 【뇌반】 효과를 획득합니다."
ReEX_Info_A/14,费用+1，同时获得该层数2倍的【雷反】,Cost +1 and gain 2x stacks of [Lightning Counter],コスト+1、そのストックの2倍の「雷返し」を得る。,Стоимость +1 и дает 2× зарядов [Молниевый контрудар],"비용 +1, 동시에 해당 중첩의 2배만큼 【뇌반】을 획득합니다."
ReEX_Info_A/13,回合开始时，解除自身及左右单位1种负面状态,,,,"턴 시작 시, 자신 및 좌우 유닛의 부정적인 상태 1개를 해제합니다."
ReEX_Info_A/15,神铸巨盾获得护盾且受15%最大生命值加成,Divine Shield grants Shield with a 15% Max HP multiplier,神鍛巨大盾はシールドを付与し、体力上限15%のボーナスを受ける。,Божественный щит дает щит с множителем 15% макс. здоровья,신주거순이 보호막을 획득하며 최대 생명력의 15%만큼 추가 보너스를 받습니다.
ReEX_Info_A/16,任意方式弃牌后，自身及左右单位获得1层【抵抗】,,,,"임의의 방식으로 카드를 버린 후, 자신 및 좌우 유닛이 1중첩의 【저항】을 획득합니다."
ReEX_Info_A/17,防御层数翻倍，获得【随风】标签,Double the Defense stacks and add the [Wind-Led] tag,防御ストックが2倍になる、ワード「随風」を獲得する。,Удваивает заряды защиты и добавляет метку [Ведомый ветром],"방어 중첩이 2배가 되며, 【수풍】 태그를 획득합니다."
ReEX_Info_A/19,变为真实伤害,Deal True Damage instead,真実ダメージになる。,Вместо этого наносит чистый урон,고정 피해로 변경됩니다.
ReEX_Info_A/18,【抵抗】效果同时作用于左右单位,The [Resistance] effect affects both adjacent units,「抵抗」は隣接する敵にも効果を与える。,Эффект [Сопротивление] затрагивает обоих соседних юнитов,【저항】 효과가 좌우 유닛에게도 동시에 적용됩니다.
ReEX_Info_A/20,自身及左右单位受到伤害时，标记对方,,,,"자신 및 좌우 유닛이 피해를 입을 때, 상대방에게 표식을 남깁니다."
ReEX_Info_A/21,被击后，回复4%生命,,,,"피격 후, 생명력을 4% 회복합니다."
ReEX_Info_A/22,费用-1，若主目标被【标记】伤害提高100%,"Cost -1. If the primary target is [Marked], increase the damage by 100%",コスト-1、メインターゲットが「マーク」されている場合、ダメージが100%増加する。,"Стоимость -1. Если основная цель [Помечена], урон +100%","비용 -1, 주 대상이 【표식】 상태라면 피해량이 100% 증가합니다."
ReEX_Info_A/23,奇数回合额外抽2张《僵尸之血》,,,,홀수 턴에 《강시의 피》를 2장 추가로 뽑습니다.
ReEX_Info_A/24,卡牌强度提高35%,Card Power +35%,カード強度が35%増加する。,Сила Карты +35%,카드 위력이 35% 증가합니다.
ReEX_Info_A/25,任意单位使用《僵尸之血》后，执行一次【自身抽牌】,,,,"임의의 유닛이 《강시의 피》를 사용한 후, 【자신 드로우】를 1회 실행합니다."
ReEX_Info_A/26,任意单位普攻后，召唤触手对目标造成法术伤害,,,,"임의의 유닛이 일반 공격 후, 촉수를 소환하여 대상에게 주문 피해를 입힙니다."
ReEX_Info_A/28,费用+1，触手数量+2,Cost +1. Tentacles +2,コスト+1、触手数+2。,Стоимость +1. Щупальца +2,"비용 +1, 촉수 수량 +2."
ReEX_Info_A/29,费用+1，【标记】层数翻倍，获得待机标签,Cost +1. Double the [Mark] stacks and add the [Ready] tag,コスト+1、「マーク」のストックが2倍になり、ワード待機を獲得する。,Стоимость +1. Удваивает заряды [Метка] и добавляет метку [Готовность],"비용 +1, 【표식】 중첩이 2배가 되며, 대기 태그를 획득합니다."
ReEX_Info_A/27,造成任意伤害后，追加2层【疫毒】,Inflict 2 [Plague Toxin] on dealing any damage,任意のダメージを与えたあと、追加で「疫毒」を2ストック付与する。,Накладывает 2 [Чумной яд] при нанесении любого урона,"임의의 피해를 입힌 후, 2중첩의 【역병】을 추가합니다."
ReEX_Info_A/30,造成任意伤害后，追加一层【疫毒】,,,,"임의의 피해를 입힌 후, 1중첩의 【역병】을 추가합니다."
ReEX_Info_A/31,回合开始时，相邻的1/2名敌人添加1层【疫毒】,,,,"턴 시작 시, 인접한 적 1/2명에게 1중첩의 【역병】을 부여합니다."
ReEX_Info_A/32,费用+1，不再解除负面状态，目标执行一次【自身抽牌】,"Cost +1. No longer remove debuffs, but the target performs a [Self Draw]",コスト+1、デバフを解除しない代わりに、ターゲットが「単体ドロー」を1回実行する。,"Стоимость +1. Больше не снимает дебаффы, но цель выполняет [Свой добор]","비용 +1, 더 이상 부정적인 상태를 해제하지 않으며, 대상은 【자신 드로우】를 1회 실행합니다."
ReEX_Info_A/33,若目标被【标记】，额外对目标及全场其他敌人叠加等量【疫毒】,"If the target is [Marked], inflict the equivalent stacks of [Plague Toxin] to the target and all enemies",ターゲットが「マーク」されている場合、追加でターゲットとほかのすべての敵に同量の「疫毒」を付与する。,"Если цель [Помечена], накладывает равное число зарядов [Чумной яд] на цель и всех врагов","대상이 【표식】 상태라면, 추가로 대상 및 필드 전체의 다른 적에게 같은 양의 【역병】을 중첩시킵니다."
ReEX_Info_A/34,毒囊叠加疫毒层数翻倍，任意方式使用卡牌后，额外触发一次毒囊效果,"Poison Sac inflicts 2x stacks of [Plague Toxin]. After using a card in any way, trigger the Poison Sac effect one extra time",毒嚢が付与する疫毒のストック数が2倍になる。いかなる方法でカード使用後、追加で毒嚢の効果を1回発動する。,Ядовитый мешок накладывает 2× зарядов [Чумной яд]. После использования карты любым способом эффект Ядовитого мешка срабатывает еще раз,"독낭이 부여하는 역병 중첩이 2배가 되며, 임의의 방식으로 카드를 사용한 후 독낭 효과를 추가로 1회 발동합니다."
ReEX_Info_A/35,对中【疫毒】的敌人，额外造成火灵根与【疫毒】层数相关法术伤害,,,,"【역병】에 걸린 적에게, 화영근 및 【역병】 중첩에 비례한 주문 피해를 추가로 입힙니다."
ReEX_Info_A/36,战斗开始时，获得等级一半的【龙威】,,,,"전투 시작 시, 레벨의 절반만큼 【용위】를 획득합니다."
ReEX_Info_A/37,费用+1，《烟酒行歌》可以对其他单位使用，并重置行动次数,Cost +1. Can use <Smoke & Liquor Ballad> on other units and reset the AP,コスト+1、『煙酒行歌』はほかのユニットに使用でき、行動回数をリセットする。,Стоимость +1. Можно применять <Баллада дыма и вина> на других юнитов и сбрасывать ОД,"비용 +1, 《연주행가》를 다른 유닛에게 사용할 수 있게 되며, 행동 횟수를 초기화합니다."
ReEX_Info_A/38,获得【待机】标签,Add the [Ready] tag,ワード「待機」を獲得する。,Добавляет метку [Готовность],【대기】 태그를 획득합니다.
ReEX_Info_A/39,使用《烟酒行歌》时，消耗5%生命值（不致死），额外获得1层【龙威】,"Consume 5% HP on using <Smoke & Liquor Ballad> (non-lethal), and add 1 extra [Dragon's Presence]",『煙酒行歌』を使用するとき、体力を5%消費する（撃破不能）、追加で「龍威」を1ストック得る。,Тратит 5% здоровья при использовании <Баллада дыма и вина> (не смертельно) и добавляет 1 дополнительное [Присутствие дракона],"《연주행가》 사용 시, 생명력을 5% 소모하여(이 효과로 사망하지 않음), 【용위】 1중첩을 추가로 획득합니다."
ReEX_Info_A/40,每损失10点生命值，物理伤害提高2%（独立乘区）,,,,"생명력을 10 잃을 때마다, 물리 피해량이 2% 증가합니다 (독립 곱연산)."
ReEX_Info_A/41,普攻后号令左侧单位攻击同一目标（视为普攻）,,,,일반 공격 후 왼쪽 유닛에게 동일한 대상을 공격하도록 명령합니다 (일반 공격으로 간주).
ReEX_Info_A/42,释放后执行一次【全局抽牌】,Perform a [Random Draw] after use,解放後に「全体ドロー」を1回実行する。,Выполняет [Случайный добор] после использования,시전 후 【전체 드로우】를 1회 실행합니다.
ReEX_Info_A/43,每回合第一次触发蓝烟令，范围扩大至全场,"Spread the effect of Token of Azure Smoke to all allies, when it is triggered for the first time each turn",各ターンで初めて藍煙令を発動するとき、対象は全ユニットになる。,Распространяет эффект «Знака лазурного дыма» на всех союзников при первом срабатывании за ход,"매 턴 처음 남연령 발동 시, 범위가 필드 전체로 확대됩니다."
ReEX_Info_A/44,相邻的2/3名敌人被《僵尸之血》攻击时，追加2层破甲,"When the 2/3 adjacent enemies are attacked by <Zombie Blood>, inflict 2 [Sunder Armor]",隣接する敵2/3名が『僵屍の血』に攻撃されたとき、追加で破れを2ストック付与する。,"Когда 2/3 соседних врагов атакованы <Кровь зомби>, накладывает 2 [Разлом брони]","인접한 적 2/3명이 《강시의 피》로 공격받을 때, 【파갑】 2중첩을 추가합니다."
ReEX_Info_A/45,手中每有一张文法牌，自身所有伤害提高7%（独立乘区）,,,,"손에 있는 문법 카드 1장당, 자신의 모든 피해량이 7% 증가합니다 (독립 곱연산)."
ReEX_Info_A/46,自身造成任意伤害后【杀意】+1,,,,자신이 임의의 피해를 입힌 후 【살의】 +1
ReEX_Info_A/48,费用+1，获得【唯一】标签，使用后将一张未升级的《邪心》加入手牌,Cost +1. Add a [Unique] tag. Add a basic <Wicked Heart> to hand after use,コスト+1、ワード「唯一」を獲得し、使用後にアップグレードしていない『邪心』を手札に加える。,Стоимость +1. Добавляет метку [Уникальная]. После использования добавляет в руку базовое <Злое сердце>,"비용 +1, 【유일】 태그 획득. 사용 후 강화되지 않은 《사심》 1장을 손패에 추가합니다."
ReEX_Info_A/49,费用+2获得【增值】标签,Cost +2. Add the [Value-Up] tag,コスト+2、ワード「増殖」を獲得する。,Стоимость +2. Добавляет метку [Прирост стоимости],"비용 +2, 【증식】 태그를 획득합니다."
ReEX_Info_A/47,伤害提高25%（独立乘区）,,,,피해량이 25% 증가합니다 (독립 곱연산).
ReEX_Info_A/50,损失40%/70%/90%生命值时，额外获得2/4/8层【杀意】（同时满足条件时，叠加）,"On losing 40%/70%/90% HP, gain 2/4/8 extra [Killing Malice] (stack if conditions are met)",40%/70%/90%の体力が失われたとき、追加で「殺意」を2/4/8ストック得る（同時に条件達成の場合は重複する）。,При потере 40%/70%/90% здоровья дает 2/4/8 дополнительных [Жажда убийства] (складывается при выполнении условий),"생명력을 40%/70%/90% 잃었을 때, 【살의】 2/4/8중첩을 추가로 획득합니다 (조건 동시 만족 시 중첩 가능)."
ReEX_Info_A/51,任意手段触发【岁月】效果时，自身最大生命值-5，随机敌人受到3%前生命值的法术伤害,,,,"임의의 수단으로 【세월】 효과 발동 시, 자신의 최대 생명력 -5, 무작위 적에게 현재 생명력의 3%만큼 주문 피해를 입힙니다."
ReEX_Info_A/52,对己方单位释放时，保留所有正面buff,,,,"아군 유닛에게 시전 시, 모든 이로운 버프를 유지합니다."
ReEX_Info_A/53,使用任意【水】卡牌时，触发时光刻痕,,,,"임의의 【수】 카드를 사용할 때, 시광각흔을 발동합니다."
ReEX_Info_A/54,费用+1，附加【流逝】层数翻倍,,,,"비용 +1, 부여하는 【상실】 중첩이 2배가 됩니다."
ReEX_Info_A/55,回合结束时，随机从本回合的使用过的卡牌中抽一张放回手牌，视为【自身抽牌】事件,,,,"턴 종료 시, 이번 턴에 사용한 카드 중 무작위로 1장을 뽑아 손패로 되돌립니다. 이는 【자신 드로우】 이벤트로 간주합니다."
ReEX_Info_A/56,弃牌时，随机左右单位【灵压】+1,,,,"카드를 버릴 때, 무작위 좌우 유닛의 【영압】 +1"
ReEX_Info_A/57,费用+1，获得待机标签,Cost +1. Add the [Ready] tag,コスト+1、ワード「待機」を獲得する。,Стоимость +1. Добавляет метку [Готовность],"비용 +1, 【대기】 태그를 획득합니다."
ReEX_Info_A/58,偶数回合时额外抽一张牌,Draw 1 extra card on even turns,偶数ターンで追加でカードを1枚ドローする。,В четные ходы берет 1 дополнительную карту,짝수 턴일 때 카드를 1장 추가로 뽑습니다.
ReEX_Info_A/59,获得等量的【灵压】，但是获得buff层数减半,"Gain an equal amount of [Spiritual Pressure], but the buff stacks gained are halved",同量の「霊圧」を得るが、ストック数が半減する。,"Дает равное количество [Духовное давление], но получаемые заряды баффа уменьшаются вдвое","동일한 양의 【영압】을 획득하지만, 획득하는 버프 중첩은 절반이 됩니다."
ReEX_Info_A/60,死亡时，对全场所有单位添加2【岁月】,,,,"사망 시, 필드의 모든 유닛에게 【세월】 2중첩을 부여합니다."
ReEX_Info_A/61,回合开始时，生成一把飞剑,,,,"턴 시작 시, 비검 1자루를 생성합니다."
ReEX_Info_A/62,消耗场上飞剑时，手中所有御剑牌，基础伤害+1,,,,"필드의 비검을 소모할 때, 손에 있는 모든 어검 카드의 기본 피해량이 +1 증가합니다."
ReEX_Info_A/63,不再造成伤害，生成更多【飞剑】，获得【增值】标签,No longer deal damage. Spawn more [Flying Swords] and add the [Value-Up] tag,ダメージを与えず、より多くの「飛剣」を召喚し、ワード「増殖」を獲得する。,Больше не наносит урон. Создает больше [Летающих мечей] и добавляет метку [Прирост стоимости],"더 이상 피해를 입히지 않으며, 더 많은 【비검】을 생성하고 【증식】 태그를 획득합니다."
ReEX_Info_A/64,回合开始时生成飞剑翻倍,"At the start of the turn, the [Flying Swords] spawned doubles",ターン開始時に召喚する飛剣が倍増する。,В начале хода число создаваемых [Летающих мечей] удваивается,턴 시작 시 생성되는 비검의 수가 2배가 됩니다.
ReEX_Info_A/65,获得灵契层数翻倍，并额外获得一层【抵抗】,The [Spiritual Pact] stacks gained double. Grant 1 extra [Resistance],付与される霊契のストックが倍増し、追加で「抵抗」を1ストック得る。,Получаемые заряды [Духовный пакт] удваиваются. Дает 1 дополнительное [Сопротивление],"획득하는 영계 중첩이 2배가 되며, 추가로 【저항】 1중첩을 획득합니다."
ReEX_Info_A/66,任意方式抽牌时，45%概率回复一点【灵力】,,,,"임의의 방식으로 카드를 뽑을 때, 45% 확률로 【영력】을 1만큼 회복합니다."
ReEX_Info_A/67,费用+1，为尸姬大人回满【灵力】,Cost +1. Fully restore the [Mana] for the Lady Zombie,コスト+1、屍姫の「霊力」を全回復する。,Стоимость +1. Полностью восстанавливает [Мана] Леди-зомби,"비용 +1, 시희님의 【영력】을 가득 채웁니다."
ReEX_Info_A/69,费用+1，同时治疗左右单位,Cost +1 and also heal the adjacent units,コスト+1、隣接ユニットを回復する。,Стоимость +1 и также исцеляет соседних юнитов,"비용 +1, 좌우 유닛을 동시에 치유합니다."
ReEX_Info_A/68,使用自身卡牌后，35%概率左侧单位执行一次【自身抽牌】,"After using this unit's cards, 35% chance that the unit to the left performs a [Self Draw]",自身の自身のカードを使用したあと、35%の確率で左のユニットが「単体ドロー」を1回実行する。,"После использования карт этого юнита 35% шанс, что юнит слева выполнит [Свой добор]","자신의 카드를 사용한 후, 35% 확률로 왼쪽 유닛이 【자신 드로우】를 1회 실행합니다."
ReEX_Info_A/70,普攻后，30%概率无条件使用一张随机手牌（不消耗卡牌）（视为卡牌事件）,,,,"일반 공격 후, 30% 확률로 무작위 손패 1장을 조건 없이 사용합니다 (카드 소모 없음, 카드 이벤트로 간주)."
ReEX_Info_A/71,自身及左右单位被击时，随机一张手牌伤害提高10%,"When oneself and left and right units are hit, the damage of a random hand card increases by 10%",自身および左右のユニットが攻撃された場合、ランダムに手札1枚のダメージが10%アップする,"Когда сам и юниты слева и справа получают удар, урон случайной карты в руке +10%","자신 및 좌우 유닛이 피격당할 때, 무작위 손패 1장의 피해량이 10% 증가합니다."
ReEX_Info_A/72,消耗血量翻倍，移除唯一标签,Double the HP cost. Remove the [Unique] tag,消費する体力が倍増し、ワード唯一を取り除く。,Удваивает плату здоровьем. Снимает метку [Уникальная],"생명력 소모량이 2배가 되며, 유일 태그를 제거합니다."
ReEX_Info_A/73,获得攻击力提高50%,Increases attack power by 50%,攻撃力を50%アップする,Увеличивает силу атаки на 50%,획득하는 공격력 50% 증가합니다.
ReEX_Info_A/74,施加【血祭】层数翻倍，【血祭】范围扩展至全场，【标记】范围扩展至目标及左右单位,"Double the inflicted [Blood Sacrifice] stacks and spread the effect of [Blood Sacrifice] to all enemies. Also, spread the effect of [Mark] to the target and its adjacent units",付与する「血祭」のストックが倍増し、対象が全ユニットになる。「マーク」の対象はターゲットとその隣接ユニットになる。,Удваивает накладываемые заряды [Кровавая жертва] и распространяет эффект [Кровавая жертва] на всех врагов. Также распространяет эффект [Метка] на цель и соседних юнитов,"부여하는 【혈제】 중첩이 2배가 되고 【혈제】 범위가 필드 전체로 확장되며, 【표식】 범위가 대상 및 좌우 유닛으로 확장됩니다."
ReEX_Info_A/75,任意单位成长时，对随机敌人造成火灵根相关的法术伤害,,,,"임의의 유닛이 성장할 때, 무작위 적에게 화영근 비례 주문 피해를 입힙니다."
ReEX_Info_A/76,普攻25%概率为目标和左右单位添加一发层疫毒,,,,일반 공격 시 25% 확률로 대상과 좌우 유닛에게 역병 1중첩을 부여합니다.
ReEX_Info_A/77,汲取目标数量提高至3,Increase the number of targets to [Drain] to 3,吸収するターゲット数が3まで増加する。,Увеличивает число целей [Осушения] до 3,【흡수】 대상 수가 3명으로 증가합니다.
ReEX_Info_A/78,触发时，有10%概率将目标【疫毒】层数翻倍并扩散至左右单位（单次至多50层）,"On triggering, 10% chance to double the [Plague Toxin] stacks of the target and its adjacent units (Up to 50 at a time)",発動するとき、10%の確率でターゲットの「疫毒」ストックを倍増し、隣接ユニットに拡散する（1回で50ストックまで）。,При срабатывании 10% шанс удвоить заряды [Чумной яд] цели и соседних юнитов (до 50 за раз),"발동 시, 10% 확률로 대상의 【역병】 중첩을 2배로 늘리고 좌우 유닛에게 확산시킵니다 (1회 최대 50중첩)."
ReEX_Info_A/79,费用-1，使用后将一张未升级的《毒风》加入手牌,Cost -1. Add a basic <Toxic Wind> to hand after use,コスト-1、使用後にアップグレードしていない『毒風』を手札に加える。,Стоимость -1. После использования добавляет в руку базовый <Ядовитый ветер>,"비용 -1, 사용 후 강화되지 않은 《독풍》 1장을 손패에 추가합니다."
ReEX_Info_A/80,自身任意方式攻击人，妖时，叠加1层【猛毒】,,,,"자신이 임의의 방식으로 인간, 요괴를 공격할 때, 【맹독】 1중첩을 쌓습니다."
ReEX_Info_A/81,,,,,
ReEX_Info_A/82,被击时，获得2层【怒意】,,,,"피격 시, 【분노】 2중첩을 획득합니다."
ReEX_Info_A/83,伤害提高25%，变为真实伤害,Damage +25%. Deal True Damage instead,ダメージが25%増加し、真実ダメージになる。,Урон +25%. Вместо этого наносит чистый урон,"피해량이 25% 증가하며, 고정 피해로 변경됩니다."
ReEX_Info_A/84,追加一次伤害和眩晕判定,Add 1 more instance of damage and [Stun] check,ダメージとスタン判定を1回ずつ追加する。,Добавляет еще один удар урона и проверку [Оглушение],피해 및 기절 판정을 1회 추가합니다.
ReEX_Info_A/85,累计造成100倍攻击力的税前伤害后，获得一张《武魂真躯》,,,,"누적해서 공격력의 100배에 달하는 감소 전 피해를 입힌 후, 《무혼진구》 1장을 획득합니다."
ReEX_Info_A/86,回合结束时，手中每有一张【御剑】卡牌，自身获得一层【灵压】,,,,"턴 종료 시, 손에 있는 【어검】 카드 1장당 자신은 【영압】 1중첩을 획득합니다."
ReEX_Info_A/87,费用+1获得【随风】标签，不再执行自身抽牌,Cost +1. Add the [Wind-Led] tag. No longer perform [Self Draw],コスト+1、ワード「随風」を獲得し、単体ドローしない。,Стоимость +1. Добавляет метку [Ведомый ветром]. Больше не выполняет [Свой добор],"비용 +1, 【수풍】 태그를 획득하며, 더 이상 자신 드로우를 실행하지 않습니다."
ReEX_Info_A/88,获得飞剑时获得一层【灵压】，连续使用相同卡牌时，获得【灵压】+1,"Gain 1 [Spiritual Pressure] when obtaining a flying sword. On using the same cards consecutively, [Spiritual Pressure] bonus +1",飛剣を獲得するときに「霊圧」を1ストック得る。連続的に同じカードを使用するとき、「霊圧」+1。,Получает 1 [Духовное давление] при обретении летающего меча. При последовательном использовании одинаковых карт бонус [Духовное давление] +1,"비검 획득 시 【영압】 1중첩을 획득하며, 동일한 카드를 연속 사용할 때 【영압】 +1."
ReEX_Info_A/89,伤害翻倍，变为真实伤害,Damage x2 and deal True Damage,与えるダメージが倍増し、真実ダメージになる。,Урон ×2 и наносит чистый урон,"피해량이 2배가 되며, 고정 피해로 변경됩니다."
ReEX_Info_A/90,任意己方单位死亡后，获得一张《倒影》,,,,"임의의 아군 유닛 사망 후, 《도영》 1장을 획득합니다."
ReEX_Info_A/91,任意己方单位累计损失100%自身最大生命值后，获得一张《生死撩断》,,,,"임의의 아군 유닛이 누적해서 자신의 최대 생명력 100%만큼을 잃은 후, 《생사요단》 1장을 획득합니다."
ReEX_Info_A/92,僵尸之血倍率提升翻倍，但是每回合损失30%当前生命,"Double the multiplier of <Zombie Blood>, but lose 30% Current HP per turn",僵屍の血の倍率増加が倍増する、各ターンで現在体力の30%を失う。,"Удваивает множитель <Кровь зомби>, но теряет 30% текущего здоровья за ход","강시의 피 배율 상승량이 2배가 되지만, 매 턴 현재 생명력의 30%를 잃습니다."
ReEX_Info_A/93,行动次数+2，但是每次普攻后损失5%当前生命值,,,,"행동 횟수 +2, 단 일반 공격 후마다 현재 생명력의 5%를 잃습니다."
ReEX_Info_A/94,任意方式使用《僵尸之血》后，60%概率回复1点灵力,,,,"임의의 방식으로 《강시의 피》 사용 후, 60% 확률로 영력 1만큼을 회복합니다."
ReEX_Info_A/95,战斗开始时，获得一张《生死撩断》,,,,"전투 시작 시, 《생사요단》 1장을 획득합니다."
ReEX_Info_A/96,,,,,
ReEX_Info_A/97,对生命值大于75%的目标使用时，将一张费用+1的绘涩加入手牌,"When used on a target with >75% HP, add a Cost+1 <Eros> to hand",体力が75%を超えているターゲットに使用するとき、コスト+1の絵渋を手札に加える。,При применении на цель с >75% здоровья добавляет в руку <Эрос> со стоимостью +1,"생명력이 75% 이상인 대상에게 사용 시, 비용이 +1된 《춘화》 1장을 손패에 추가합니다."
ReEX_Info_A/98,所有己方单位，每有一层正面buff，该伤害提高1%(独立乘区),+1% damage (independent multiplier) per stack of buffs on any allied units,すべての味方ユニットのバフ1ストックごとに、このダメージは1%増加する（個別強化）。,`+1% урона (независимый множитель) за каждый заряд баффов на любых союзных юнитах,"모든 아군 유닛이 보유한 이로운 버프 1중첩당, 해당 피해량이 1% 증가합니다 (독립 곱연산)."
ReEX_Info_A/99,己方单位行动时，30%概率【自身抽牌】,"When any ally acts, 30% chance to perform a [Self Draw]",味方ユニットが行動するとき、30%の確率で「単体ドロー」を実行する。,При действии любого союзника 30% шанс выполнить [Свой добор],"아군 유닛 행동 시, 30% 확률로 【자신 드로우】."
ReEX_Info_A/100,每回合开始时，50%概率对随机敌人释放《心欲流泉-极乐》（视为卡牌事件)（不论是否学习），每被击一次，下次触发概率提高20%,,,,"매 턴 시작 시, 50% 확률로 무작위 적에게 《심욕류천-극락》을 시전합니다 (카드 이벤트로 간주, 습득 여부 무관). 피격될 때마다 다음 발동 확률이 20% 증가합니다."
ReEX_Info_A/101,自身任意方式攻击【眩晕】的敌人时，追加水灵根相关的法术伤害,,,,"자신이 임의의 방식으로 【기절】 상태인 적을 공격할 때, 수영근 비례 주문 피해를 추가합니다."
ReEX_Info_A/102,自身左右单位获得护盾翻倍并解除一种异常状态,The 2 adjacent units gain 2x Shield and remove 1 debuff,隣接ユニットが得るシールドが倍増し、デバフを1種解除する。,2 соседних юнита получают 2× щита и снимают 1 дебафф,자신의 좌우 유닛이 획득하는 보호막이 2배가 되며 상태 이상 1개를 해제합니다.
ReEX_Info_A/103,任意单位均能触发【红熏】效果,Any unit can now trigger [Red Brush],すべてのユニットが「紅染」の効果を発動できる。,Теперь [Красная кисть] может срабатывать у любого юнита,모든 유닛이 【홍훈】 효과를 발동할 수 있게 됩니다.
ReEX_Info_A/104,费用+1，叠加【虚弱】改为【眩晕】,Cost +1. Inflict [Stun] instead of [Asthenia],コスト+1、「衰弱」の代わりに「スタン」を付与する。,Стоимость +1. Накладывает [Оглушение] вместо [Астения],"비용 +1, 부여하는 【허약】이 【기절】로 변경됩니다."
ReEX_Info_A/105,累计使用4张【风】卡牌后，执行一次【全局抽牌】,,,,"【풍】 카드 4장을 누적 사용 후, 【전체 드로우】를 1회 실행합니다."
ReEX_Info_A/106,回合开始时，睁开一只【心眼】,,,,"턴 시작 시, 【심안】을 하나 개방합니다."
ReEX_Info_A/107,若飞剑数大于4，额外执行一次自身抽牌,Perform an extra [Self Draw] if the number of flying swords >4,飛剣が4本を超えている場合、「単体ドロー」を1回実行する。,"Выполняет дополнительный [Свой добор], если летающих мечей >4","비검이 4자루보다 많으면, 【자신 드로우】를 1회 추가 실행합니다."
ReEX_Info_A/108,自身和左右单位【抽牌】后，自身行动次数+1,,,,"자신과 좌우 유닛이 【드로우】 후, 자신의 행동 횟수 +1"
ReEX_Info_A/109,伤害类型变为真实伤害,Deal True Damage instead,真実ダメージになる。,Вместо этого наносит чистый урон,피해 유형이 고정 피해로 변경됩니다.
ReEX_Info_A/110,普攻后，将一张《心眼》加入手牌，该卡牌可以为任意单位添加【心眼】效果,"After a Basic Attack, add 1 <Mind's Eye> to hand, which can be used to grant [Mind's Eye] to any allied unit",通常攻撃後、『心眼』を1枚手札に加える。このカードは任意のユニットに「心眼」の効果を与えられる。,"После базовой атаки добавляет в руку 1 <Око разума>, которым можно дать [Око разума] любому союзному юниту","일반 공격 후, 《심안》 1장을 손패에 추가합니다. 이 카드는 임의의 유닛에게 【심안】 효과를 부여할 수 있습니다."
ReEX_Info_A/111,每回合开始时，损失5%最大生命值（不致死)，对相邻的1/2名敌人造成损失血量相关的法术伤害,,,,"매 턴 시작 시, 최대 생명력의 5%를 잃고(이 효과로 사망하지 않음), 인접한 적 1/2명에게 잃은 생명력에 비례한 주문 피해를 입힙니다."
ReEX_Info_A/112,本回合未受到敌人攻击时，获得<#BuffCount#>朝讽,,,,"이번 턴에 적의 공격을 받지 않았다면, 【도발】을 <#BuffCount#>만큼 획득합니다."
ReEX_Info_A/113,伤害翻倍,Damage x2,ダメージが倍増する。,Урон ×2,피해량이 2배가 됩니다.
ReEX_Info_A/114,【虚弱】效果改为【眩晕】,Inflict [Stun] instead of [Asthenia],「衰弱」の代わりに「スタン」を付与する。,Накладывает [Оглушение] вместо [Астения],【허약】 효과가 【기절】로 변경됩니다.
ReEX_Info_A/115,回合结束时，每剩余一次行动次数，触发一次溺死的鱼,,,,"턴 종료 시, 남은 행동 횟수 1회당 《익사어》를 1회 발동합니다."
ReEX_Info_A/116,任意【妖怪】死亡后，自身获得1层【龙威】,,,,"임의의 【요괴】 사망 후, 자신은 【용위】 1중첩을 획득합니다."
ReEX_Info_A/117,对带【龙威】的敌人，伤害提高50%（独立乘区）,,,,【용위】를 가진 적에게 주는 피해량이 50% 증가합니다 (독립 곱연산).
ReEX_Info_A/118,全场己方汲取效果提高50%（向上取整）,All allies [Drain] 50% more (rounded up),すべての味方ユニットの吸収効果が50%増加する（切り上げ）。,Все союзники [Осушают] на 50% больше (с округлением вверх),모든 아군의 흡수 효과가 50% 증가합니다 (올림 처리).
ReEX_Info_A/119,费用-1每次释放后，获得一张僵尸之血,Cost -1. Grant 1 <Zombie Blood> after each use,コスト-1、使用するごとに僵屍の血を1枚獲得する。,Стоимость -1. После каждого использования дает 1 <Кровь зомби>,"비용 -1, 시전할 때마다 《강시의 피》 1장을 획득합니다."
ReEX_Info_A/120,【汲取】量提高50%,[Drain] 50% more,「吸収」量が50%増加する。,[Осушает] на 50% больше,【흡수】량이 50% 증가합니다.
ReEX_Info_A/121,,,,,
